### Taken from DRAKE! Probably best to get our own implementation or sth
# Tabulated SM Higgs width as a function of its mass (both in GeV)
# This table was generated out of tables from darksusy 6.2.4. which were based on HDecay 6.53
# mh	width
1616.	4912.
1618.	4943.
1620.	4974.
1622.	5006.
1624.	5037.
1626.	5069.
1628.	5101.
1630.	5133.
1632.	5166.
1634.	5198.
1636.	5231.
1638.	5264.
1640.	5297.
1642.	5330.
1644.	5364.
1646.	5398.
1648.	5432.
1650.	5466.
1652.	5500.
1654.	5535.
1656.	5569.
1658.	5604.
1660.	5640.
1662.	5675.
1664.	5711.
1666.	5746.
1668.	5782.
1670.	5819.
1672.	5855.
1674.	5892.
1676.	5929.
1678.	5966.
1680.	6003.
1682.	6040.
1684.	6078.
1686.	6116.
1688.	6154.
1690.	6193.
1692.	6231.
1694.	6270.
1696.	6309.
1698.	6349.
1700.	6388.
1702.	6428.
1704.	6468.
1706.	6508.
1708.	6549.
1710.	6590.
1712.	6631.
1714.	6672.
1716.	6713.
1718.	6755.
1720.	6797.
1722.	6839.
1724.	6882.
1726.	6924.
1728.	6967.
1730.	7011.
1732.	7054.
1734.	7098.
1736.	7142.
1738.	7186.
1740.	7230.
1742.	7275.
1744.	7320.
1746.	7365.
1748.	7411.
1750.	7457.
1752.	7503.
1754.	7549.
1756.	7595.
1758.	7642.
1760.	7689.
1762.	7737.
1764.	7784.
1766.	7832.
1768.	7881.
1770.	7929.
1772.	7978.
1774.	8027.
1776.	8076.
1778.	8126.
1780.	8176.
1782.	8226.
1784.	8276.
1786.	8327.
1788.	8378.
1790.	8430.
1792.	8481.
1794.	8533.
1796.	8585.
1798.	8638.
1800.	8691.
1802.	8744.
1804.	8797.
1806.	8851.
1808.	8905.
1810.	8960.
1812.	9014.
1814.	9069.
1816.	9125.
1818.	9180.
1820.	9236.
1822.	9292.
1824.	9349.
1826.	9406.
1828.	9463.
1830.	9521.
1832.	9579.
1834.	9637.
1836.	9695.
1838.	9754.
1840.	9813.
1842.	9873.
1844.	9933.
1846.	9993.
1848.	10050.
1850.	10110.
1852.	10180.
1854.	10240.
1856.	10300.
1858.	10360.
1860.	10420.
1862.	10490.
1864.	10550.
1866.	10610.
1868.	10680.
1870.	10740.
1872.	10810.
1874.	10870.
1876.	10940.
1878.	11000.
1880.	11070.
1882.	11140.
1884.	11200.
1886.	11270.
1888.	11340.
1890.	11410.
1892.	11470.
1894.	11540.
1896.	11610.
1898.	11680.
1900.	11750.
1902.	11820.
1904.	11890.
1906.	11960.
1908.	12040.
1910.	12110.
1912.	12180.
1914.	12250.
1916.	12330.
1918.	12400.
1920.	12470.
1922.	12550.
1924.	12620.
1926.	12700.
1928.	12770.
1930.	12850.
1932.	12930.
1934.	13000.
1936.	13080.
1938.	13160.
1940.	13240.
1942.	13310.
1944.	13390.
1946.	13470.
1948.	13550.
1950.	13630.
1952.	13710.
1954.	13800.
1956.	13880.
1958.	13960.
1960.	14040.
1962.	14120.
1964.	14210.
1966.	14290.
1968.	14380.
1970.	14460.
1972.	14550.
1974.	14630.
1976.	14720.
1978.	14800.
1980.	14890.
1982.	14980.
1984.	15070.
1986.	15160.
1988.	15240.
1990.	15330.
1992.	15420.
1994.	15510.
1996.	15610.
1998.	15700.
2000.	15790.
2010.	16260.
2020.	16740.
2030.	17230.
2040.	17740.
2050.	18260.
2060.	18800.
2070.	19350.
2080.	19910.
2090.	20490.
2100.	21090.
2110.	21700.
2120.	22320.
2130.	22970.
2140.	23630.
2150.	24300.
2160.	25000.
2170.	25710.
2180.	26440.
2190.	27190.
2200.	27950.
2210.	28740.
2220.	29550.
2230.	30380.
2240.	31220.
2250.	32090.
2260.	32990.
2270.	33900.
2280.	34840.
2290.	35790.
2300.	36780.
2310.	37780.
2320.	38820.
2330.	39870.
2340.	40950.
2350.	42060.
2360.	43200.
2370.	44360.
2380.	45550.
2390.	46770.
2400.	48020.
2410.	49300.
2420.	50600.
2430.	51940.
2440.	53310.
2450.	54710.
2460.	56150.
2470.	57620.
2480.	59120.
2490.	60650.
2500.	62230.
2510.	63830.
2520.	65480.
2530.	67160.
2540.	68880.
2550.	70640.
2560.	72440.
2570.	74280.
2580.	76160.
2590.	78080.
2600.	80050.
2610.	82060.
2620.	84110.
2630.	86210.
2640.	88350.
2650.	90540.
2660.	92780.
2670.	95070.
2680.	97410.
2690.	99800.
2700.	102200.
2710.	104700.
2720.	107300.
2730.	109900.
2740.	112500.
2750.	115200.
2760.	118000.
2770.	120800.
2780.	123700.
2790.	126700.
2800.	129700.
2810.	132700.
2820.	135900.
2830.	139100.
2840.	142300.
2850.	145700.
2860.	149100.
2870.	152500.
2880.	156100.
2890.	159700.
2900.	163400.
2910.	167100.
2920.	171000.
2930.	174900.
2940.	178900.
2950.	182900.
2960.	187100.
2970.	191300.
2980.	195600.
2990.	200000.
3000.	204500.
3010.	209100.
3020.	213700.
3030.	218500.
3040.	223300.
3050.	228300.
3060.	233300.
3070.	238400.
3080.	243700.
3090.	249000.
3100.	254400.
3110.	259900.
3120.	265600.
3130.	271300.
3140.	277200.
3150.	283100.
3160.	289200.
3170.	295400.
3180.	301700.
3190.	308100.
3200.	314600.
3210.	321300.
3220.	328000.
3230.	334900.
3240.	342000.
3250.	349100.
3260.	356400.
3270.	363800.
3280.	371400.
3290.	379000.
3300.	386900.
3310.	394800.
3320.	402900.
3330.	411200.
3340.	419600.
3350.	428100.
3360.	436800.
3370.	445600.
3380.	454600.
3390.	463800.
3400.	473100.
3410.	482600.
3420.	492200.
3430.	502000.
3440.	512000.
3450.	522200.
3460.	532500.
3470.	543000.
3480.	553700.
3490.	564500.
3500.	575600.
3510.	586800.
3520.	598200.
3530.	609800.
3540.	621600.
3550.	633600.
3560.	645800.
3570.	658200.
3580.	670900.
3590.	683700.
3600.	696700.
3610.	710000.
3620.	723400.
3630.	737100.
3640.	751000.
3650.	765200.
3660.	779500.
3670.	794100.
3680.	809000.
3690.	824100.
3700.	839400.
3710.	854900.
3720.	870800.
3730.	886800.
3740.	903100.
3750.	919700.
3760.	936600.
3770.	953700.
3780.	971100.
3790.	988700.
3800.	1.007e6
3810.	1.025e6
3820.	1.043e6
3830.	1.062e6
3840.	1.081e6
3850.	1.101e6
3860.	1.12e6
3870.	1.14e6
3880.	1.16e6
3890.	1.181e6
3900.	1.202e6
3910.	1.223e6
3920.	1.245e6
3930.	1.267e6
3940.	1.289e6
3950.	1.311e6
3960.	1.334e6
3970.	1.357e6
3980.	1.381e6
3990.	1.405e6
4000.	1.429e6
4010.	1.454e6
4020.	1.479e6
4030.	1.504e6
4040.	1.53e6
4050.	1.556e6
4060.	1.583e6
4070.	1.609e6
4080.	1.637e6
4090.	1.664e6
4100.	1.693e6
4110.	1.721e6
4120.	1.75e6
4130.	1.779e6
4140.	1.809e6
4150.	1.839e6
4160.	1.87e6
4170.	1.901e6
4180.	1.932e6
4190.	1.964e6
4200.	1.997e6
4210.	2.03e6
4220.	2.063e6
4230.	2.097e6
4240.	2.131e6
4250.	2.166e6
4260.	2.201e6
4270.	2.237e6
4280.	2.273e6
4290.	2.31e6
4300.	2.347e6
4310.	2.385e6
4320.	2.423e6
4330.	2.462e6
4340.	2.501e6
4350.	2.541e6
4360.	2.582e6
4370.	2.623e6
4380.	2.664e6
4390.	2.706e6
4400.	2.749e6
4410.	2.792e6
4420.	2.836e6
4430.	2.881e6
4440.	2.926e6
4450.	2.971e6
4460.	3.018e6
4470.	3.065e6
4480.	3.112e6
4490.	3.16e6
4500.	3.209e6
4510.	3.258e6
4520.	3.309e6
4530.	3.359e6
4540.	3.411e6
4550.	3.463e6
4560.	3.516e6
4570.	3.569e6
4580.	3.623e6
4590.	3.678e6
4600.	3.734e6
4610.	3.79e6
4620.	3.847e6
